"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"05.12.2023 18:00 - 05.12.2023 18:15","9540","9735"
"05.12.2023 18:15 - 05.12.2023 18:30","9476","9672"
"05.12.2023 18:30 - 05.12.2023 18:45","9420","9632"
"05.12.2023 18:45 - 05.12.2023 19:00","9340","9564"
"05.12.2023 19:00 - 05.12.2023 19:15","9232","9451"
"05.12.2023 19:15 - 05.12.2023 19:30","9124","9272"
"05.12.2023 19:30 - 05.12.2023 19:45","9012","9170"
"05.12.2023 19:45 - 05.12.2023 20:00","8888","9051"
"05.12.2023 20:00 - 05.12.2023 20:15","8748","8862"
"05.12.2023 20:15 - 05.12.2023 20:30","8600","8708"
"05.12.2023 20:30 - 05.12.2023 20:45","8468","8561"
"05.12.2023 20:45 - 05.12.2023 21:00","8312","8382"
"05.12.2023 21:00 - 05.12.2023 21:15","8156","8271"
"05.12.2023 21:15 - 05.12.2023 21:30","8008","8160"
"05.12.2023 21:30 - 05.12.2023 21:45","7868","8012"
"05.12.2023 21:45 - 05.12.2023 22:00","7748","7857"
"05.12.2023 22:00 - 05.12.2023 22:15","7900","7964"
"05.12.2023 22:15 - 05.12.2023 22:30","7820","7927"
"05.12.2023 22:30 - 05.12.2023 22:45","7656","7766"
"05.12.2023 22:45 - 05.12.2023 23:00","7524","7618"
"05.12.2023 23:00 - 05.12.2023 23:15","7500","7538"
"05.12.2023 23:15 - 05.12.2023 23:30","7356","7387"
"05.12.2023 23:30 - 05.12.2023 23:45","7232","7241"
"05.12.2023 23:45 - 06.12.2023 00:00","7124","7153"
"06.12.2023 00:00 - 06.12.2023 00:15","7092","7215"
"06.12.2023 00:15 - 06.12.2023 00:30","6984","7101"
"06.12.2023 00:30 - 06.12.2023 00:45","6872","7014"
"06.12.2023 00:45 - 06.12.2023 01:00","6772","6890"
"06.12.2023 01:00 - 06.12.2023 01:15","6728","6884"
"06.12.2023 01:15 - 06.12.2023 01:30","6652","6781"
"06.12.2023 01:30 - 06.12.2023 01:45","6592","6701"
"06.12.2023 01:45 - 06.12.2023 02:00","6536","6638"
"06.12.2023 02:00 - 06.12.2023 02:15","6588","6669"
"06.12.2023 02:15 - 06.12.2023 02:30","6540","6647"
"06.12.2023 02:30 - 06.12.2023 02:45","6492","6635"
"06.12.2023 02:45 - 06.12.2023 03:00","6444","6576"
"06.12.2023 03:00 - 06.12.2023 03:15","6436","6549"
"06.12.2023 03:15 - 06.12.2023 03:30","6424","6515"
"06.12.2023 03:30 - 06.12.2023 03:45","6424","6512"
"06.12.2023 03:45 - 06.12.2023 04:00","6428","6516"
"06.12.2023 04:00 - 06.12.2023 04:15","6492","6560"
"06.12.2023 04:15 - 06.12.2023 04:30","6532","6658"
"06.12.2023 04:30 - 06.12.2023 04:45","6612","6755"
"06.12.2023 04:45 - 06.12.2023 05:00","6728","6842"
"06.12.2023 05:00 - 06.12.2023 05:15","6944","7102"
"06.12.2023 05:15 - 06.12.2023 05:30","7136","7272"
"06.12.2023 05:30 - 06.12.2023 05:45","7360","7485"
"06.12.2023 05:45 - 06.12.2023 06:00","7632","7794"
"06.12.2023 06:00 - 06.12.2023 06:15","7892","8128"
"06.12.2023 06:15 - 06.12.2023 06:30","8220","8443"
"06.12.2023 06:30 - 06.12.2023 06:45","8488","8696"
"06.12.2023 06:45 - 06.12.2023 07:00","8724","8988"
"06.12.2023 07:00 - 06.12.2023 07:15","9000","9246"
"06.12.2023 07:15 - 06.12.2023 07:30","9200","9424"
"06.12.2023 07:30 - 06.12.2023 07:45","9320","9529"
"06.12.2023 07:45 - 06.12.2023 08:00","9440","9584"
"06.12.2023 08:00 - 06.12.2023 08:15","9540","9780"
"06.12.2023 08:15 - 06.12.2023 08:30","9600","9916"
"06.12.2023 08:30 - 06.12.2023 08:45","9640","9965"
"06.12.2023 08:45 - 06.12.2023 09:00","9660","10035"
"06.12.2023 09:00 - 06.12.2023 09:15","9652","10027"
"06.12.2023 09:15 - 06.12.2023 09:30","9648","10057"
"06.12.2023 09:30 - 06.12.2023 09:45","9664","10116"
"06.12.2023 09:45 - 06.12.2023 10:00","9652","10155"
"06.12.2023 10:00 - 06.12.2023 10:15","9664","10136"
"06.12.2023 10:15 - 06.12.2023 10:30","9684","10125"
"06.12.2023 10:30 - 06.12.2023 10:45","9688","10143"
"06.12.2023 10:45 - 06.12.2023 11:00","9692","10121"
"06.12.2023 11:00 - 06.12.2023 11:15","9656","10072"
"06.12.2023 11:15 - 06.12.2023 11:30","9668","10141"
"06.12.2023 11:30 - 06.12.2023 11:45","9656","10145"
"06.12.2023 11:45 - 06.12.2023 12:00","9628","10046"
"06.12.2023 12:00 - 06.12.2023 12:15","9600","10060"
"06.12.2023 12:15 - 06.12.2023 12:30","9512","9980"
"06.12.2023 12:30 - 06.12.2023 12:45","9452","9915"
"06.12.2023 12:45 - 06.12.2023 13:00","9416","9925"
"06.12.2023 13:00 - 06.12.2023 13:15","9468","9961"
"06.12.2023 13:15 - 06.12.2023 13:30","9448","9956"
"06.12.2023 13:30 - 06.12.2023 13:45","9404","9870"
"06.12.2023 13:45 - 06.12.2023 14:00","9380","9777"
"06.12.2023 14:00 - 06.12.2023 14:15","9352","9756"
"06.12.2023 14:15 - 06.12.2023 14:30","9344","9708"
"06.12.2023 14:30 - 06.12.2023 14:45","9332","9701"
"06.12.2023 14:45 - 06.12.2023 15:00","9316","9631"
"06.12.2023 15:00 - 06.12.2023 15:15","9316","9636"
"06.12.2023 15:15 - 06.12.2023 15:30","9328","9654"
"06.12.2023 15:30 - 06.12.2023 15:45","9332","9621"
"06.12.2023 15:45 - 06.12.2023 16:00","9352","9669"
"06.12.2023 16:00 - 06.12.2023 16:15","9372","9674"
"06.12.2023 16:15 - 06.12.2023 16:30","9404","9732"
"06.12.2023 16:30 - 06.12.2023 16:45","9440","9809"
"06.12.2023 16:45 - 06.12.2023 17:00","9472","9822"
"06.12.2023 17:00 - 06.12.2023 17:15","9484","9771"
"06.12.2023 17:15 - 06.12.2023 17:30","9500","9823"
"06.12.2023 17:30 - 06.12.2023 17:45","9500","9799"
"06.12.2023 17:45 - 06.12.2023 18:00","9488","9720"
"06.12.2023 18:00 - 06.12.2023 18:15","9440","9646"
"06.12.2023 18:15 - 06.12.2023 18:30","9384","9605"
"06.12.2023 18:30 - 06.12.2023 18:45","9324","9517"
"06.12.2023 18:45 - 06.12.2023 19:00","9244","9478"
"06.12.2023 19:00 - 06.12.2023 19:15","9140","9378"
"06.12.2023 19:15 - 06.12.2023 19:30","9020","9251"
"06.12.2023 19:30 - 06.12.2023 19:45","8896","9127"
"06.12.2023 19:45 - 06.12.2023 20:00","8772","8950"
"06.12.2023 20:00 - 06.12.2023 20:15","8644","8820"
"06.12.2023 20:15 - 06.12.2023 20:30","8496","8686"
"06.12.2023 20:30 - 06.12.2023 20:45","8360","8522"
"06.12.2023 20:45 - 06.12.2023 21:00","8212","8409"
"06.12.2023 21:00 - 06.12.2023 21:15","8068","8252"
"06.12.2023 21:15 - 06.12.2023 21:30","7920","8104"
"06.12.2023 21:30 - 06.12.2023 21:45","7784","7919"
"06.12.2023 21:45 - 06.12.2023 22:00","7668","7825"
"06.12.2023 22:00 - 06.12.2023 22:15","7824","7932"
"06.12.2023 22:15 - 06.12.2023 22:30","7736","7852"
"06.12.2023 22:30 - 06.12.2023 22:45","7588","7683"
"06.12.2023 22:45 - 06.12.2023 23:00","7460","7576"
"06.12.2023 23:00 - 06.12.2023 23:15","7428","7507"
"06.12.2023 23:15 - 06.12.2023 23:30","7276","7334"
"06.12.2023 23:30 - 06.12.2023 23:45","7148","7235"
"06.12.2023 23:45 - 07.12.2023 00:00","7048","7138"
"07.12.2023 00:00 - 07.12.2023 00:15","6996","7137"
"07.12.2023 00:15 - 07.12.2023 00:30","6876","7036"
"07.12.2023 00:30 - 07.12.2023 00:45","6768","6894"
"07.12.2023 00:45 - 07.12.2023 01:00","6668","6790"
"07.12.2023 01:00 - 07.12.2023 01:15","6640","6778"
"07.12.2023 01:15 - 07.12.2023 01:30","6560","6750"
"07.12.2023 01:30 - 07.12.2023 01:45","6496","6692"
"07.12.2023 01:45 - 07.12.2023 02:00","6436","6601"
"07.12.2023 02:00 - 07.12.2023 02:15","6488","6607"
"07.12.2023 02:15 - 07.12.2023 02:30","6440","6568"
"07.12.2023 02:30 - 07.12.2023 02:45","6392","6549"
"07.12.2023 02:45 - 07.12.2023 03:00","6348","6531"
"07.12.2023 03:00 - 07.12.2023 03:15","6344","6534"
"07.12.2023 03:15 - 07.12.2023 03:30","6336","6529"
"07.12.2023 03:30 - 07.12.2023 03:45","6332","6536"
"07.12.2023 03:45 - 07.12.2023 04:00","6348","6534"
"07.12.2023 04:00 - 07.12.2023 04:15","6412","6598"
"07.12.2023 04:15 - 07.12.2023 04:30","6452","6664"
"07.12.2023 04:30 - 07.12.2023 04:45","6532","6769"
"07.12.2023 04:45 - 07.12.2023 05:00","6664","6860"
"07.12.2023 05:00 - 07.12.2023 05:15","6888","7123"
"07.12.2023 05:15 - 07.12.2023 05:30","7076","7322"
"07.12.2023 05:30 - 07.12.2023 05:45","7304","7489"
"07.12.2023 05:45 - 07.12.2023 06:00","7576","7744"
"07.12.2023 06:00 - 07.12.2023 06:15","7880","8199"
"07.12.2023 06:15 - 07.12.2023 06:30","8196","8430"
"07.12.2023 06:30 - 07.12.2023 06:45","8476","8678"
"07.12.2023 06:45 - 07.12.2023 07:00","8720","8905"
"07.12.2023 07:00 - 07.12.2023 07:15","8968","9245"
"07.12.2023 07:15 - 07.12.2023 07:30","9136","9448"
"07.12.2023 07:30 - 07.12.2023 07:45","9264","9566"
"07.12.2023 07:45 - 07.12.2023 08:00","9376","9645"
"07.12.2023 08:00 - 07.12.2023 08:15","9488","9796"
"07.12.2023 08:15 - 07.12.2023 08:30","9540","9879"
"07.12.2023 08:30 - 07.12.2023 08:45","9576","9914"
"07.12.2023 08:45 - 07.12.2023 09:00","9592","9962"
"07.12.2023 09:00 - 07.12.2023 09:15","9564","9930"
"07.12.2023 09:15 - 07.12.2023 09:30","9568","9904"
"07.12.2023 09:30 - 07.12.2023 09:45","9568","9924"
"07.12.2023 09:45 - 07.12.2023 10:00","9552","9930"
"07.12.2023 10:00 - 07.12.2023 10:15","9536","9870"
"07.12.2023 10:15 - 07.12.2023 10:30","9528","9884"
"07.12.2023 10:30 - 07.12.2023 10:45","9516","9879"
"07.12.2023 10:45 - 07.12.2023 11:00","9516","9804"
"07.12.2023 11:00 - 07.12.2023 11:15","9484","9795"
"07.12.2023 11:15 - 07.12.2023 11:30","9484","9812"
"07.12.2023 11:30 - 07.12.2023 11:45","9468","9732"
"07.12.2023 11:45 - 07.12.2023 12:00","9444","9709"
"07.12.2023 12:00 - 07.12.2023 12:15","9432","9599"
"07.12.2023 12:15 - 07.12.2023 12:30","9360","9442"
"07.12.2023 12:30 - 07.12.2023 12:45","9308","9395"
"07.12.2023 12:45 - 07.12.2023 13:00","9272","9368"
"07.12.2023 13:00 - 07.12.2023 13:15","9316","9427"
"07.12.2023 13:15 - 07.12.2023 13:30","9268","9394"
"07.12.2023 13:30 - 07.12.2023 13:45","9228","9309"
"07.12.2023 13:45 - 07.12.2023 14:00","9172","9254"
"07.12.2023 14:00 - 07.12.2023 14:15","9156","9269"
"07.12.2023 14:15 - 07.12.2023 14:30","9144","9246"
"07.12.2023 14:30 - 07.12.2023 14:45","9136","9274"
"07.12.2023 14:45 - 07.12.2023 15:00","9132","9266"
"07.12.2023 15:00 - 07.12.2023 15:15","9144","9315"
"07.12.2023 15:15 - 07.12.2023 15:30","9172","9336"
"07.12.2023 15:30 - 07.12.2023 15:45","9188","9392"
"07.12.2023 15:45 - 07.12.2023 16:00","9220","9453"
"07.12.2023 16:00 - 07.12.2023 16:15","9244","9550"
"07.12.2023 16:15 - 07.12.2023 16:30","9276","9662"
"07.12.2023 16:30 - 07.12.2023 16:45","9328","9783"
"07.12.2023 16:45 - 07.12.2023 17:00","9380","9808"
"07.12.2023 17:00 - 07.12.2023 17:15","9420","9769"
"07.12.2023 17:15 - 07.12.2023 17:30","9448","9833"
"07.12.2023 17:30 - 07.12.2023 17:45","9460","9828"
"07.12.2023 17:45 - 07.12.2023 18:00","9452","9752"
"07.12.2023 18:00 - 07.12.2023 18:15","9420","9658"
"07.12.2023 18:15 - 07.12.2023 18:30","9348","9562"
"07.12.2023 18:30 - 07.12.2023 18:45","9288","9499"
"07.12.2023 18:45 - 07.12.2023 19:00","9204","9464"
"07.12.2023 19:00 - 07.12.2023 19:15","9120","9250"
"07.12.2023 19:15 - 07.12.2023 19:30","9008","9147"
"07.12.2023 19:30 - 07.12.2023 19:45","8888","9046"
"07.12.2023 19:45 - 07.12.2023 20:00","8768","8933"
"07.12.2023 20:00 - 07.12.2023 20:15","8640","8784"
"07.12.2023 20:15 - 07.12.2023 20:30","8492","8655"
"07.12.2023 20:30 - 07.12.2023 20:45","8360","8512"
"07.12.2023 20:45 - 07.12.2023 21:00","8224","8434"
"07.12.2023 21:00 - 07.12.2023 21:15","8076","8300"
"07.12.2023 21:15 - 07.12.2023 21:30","7944","8115"
"07.12.2023 21:30 - 07.12.2023 21:45","7796","7980"
"07.12.2023 21:45 - 07.12.2023 22:00","7684","7895"
"07.12.2023 22:00 - 07.12.2023 22:15","7816","8015"
"07.12.2023 22:15 - 07.12.2023 22:30","7724","8003"
"07.12.2023 22:30 - 07.12.2023 22:45","7564","7837"
"07.12.2023 22:45 - 07.12.2023 23:00","7436","7652"
"07.12.2023 23:00 - 07.12.2023 23:15","7404","7597"
"07.12.2023 23:15 - 07.12.2023 23:30","7252","7469"
"07.12.2023 23:30 - 07.12.2023 23:45","7128","7306"
"07.12.2023 23:45 - 08.12.2023 00:00","7036","7241"
"08.12.2023 00:00 - 08.12.2023 00:15","6464","7260"
"08.12.2023 00:15 - 08.12.2023 00:30","6360","7202"
"08.12.2023 00:30 - 08.12.2023 00:45","6244","7110"
"08.12.2023 00:45 - 08.12.2023 01:00","6140","7007"
"08.12.2023 01:00 - 08.12.2023 01:15","6116","6973"
"08.12.2023 01:15 - 08.12.2023 01:30","6028","6878"
"08.12.2023 01:30 - 08.12.2023 01:45","5952","6798"
"08.12.2023 01:45 - 08.12.2023 02:00","5900","6714"
"08.12.2023 02:00 - 08.12.2023 02:15","5992","6776"
"08.12.2023 02:15 - 08.12.2023 02:30","5940","6745"
"08.12.2023 02:30 - 08.12.2023 02:45","5896","6674"
"08.12.2023 02:45 - 08.12.2023 03:00","5856","6618"
"08.12.2023 03:00 - 08.12.2023 03:15","5836","6603"
"08.12.2023 03:15 - 08.12.2023 03:30","5808","6571"
"08.12.2023 03:30 - 08.12.2023 03:45","5788","6543"
"08.12.2023 03:45 - 08.12.2023 04:00","5776","6541"
"08.12.2023 04:00 - 08.12.2023 04:15","5788","6549"
"08.12.2023 04:15 - 08.12.2023 04:30","5792","6554"
"08.12.2023 04:30 - 08.12.2023 04:45","5820","6553"
"08.12.2023 04:45 - 08.12.2023 05:00","5848","6551"
"08.12.2023 05:00 - 08.12.2023 05:15","5896","6645"
"08.12.2023 05:15 - 08.12.2023 05:30","5948","6690"
"08.12.2023 05:30 - 08.12.2023 05:45","6004","6706"
"08.12.2023 05:45 - 08.12.2023 06:00","6052","6761"
"08.12.2023 06:00 - 08.12.2023 06:15","6112","6807"
"08.12.2023 06:15 - 08.12.2023 06:30","6216","6912"
"08.12.2023 06:30 - 08.12.2023 06:45","6316","7017"
"08.12.2023 06:45 - 08.12.2023 07:00","6412","7102"
"08.12.2023 07:00 - 08.12.2023 07:15","6504","7241"
"08.12.2023 07:15 - 08.12.2023 07:30","6612","7363"
"08.12.2023 07:30 - 08.12.2023 07:45","6700","7450"
"08.12.2023 07:45 - 08.12.2023 08:00","6784","7558"
"08.12.2023 08:00 - 08.12.2023 08:15","6892","7665"
"08.12.2023 08:15 - 08.12.2023 08:30","6964","7751"
"08.12.2023 08:30 - 08.12.2023 08:45","7068","7845"
"08.12.2023 08:45 - 08.12.2023 09:00","7148","7936"
"08.12.2023 09:00 - 08.12.2023 09:15","7208","8064"
"08.12.2023 09:15 - 08.12.2023 09:30","7268","8146"
"08.12.2023 09:30 - 08.12.2023 09:45","7324","8176"
"08.12.2023 09:45 - 08.12.2023 10:00","7372","8272"
"08.12.2023 10:00 - 08.12.2023 10:15","7432","8299"
"08.12.2023 10:15 - 08.12.2023 10:30","7488","8311"
"08.12.2023 10:30 - 08.12.2023 10:45","7532","8318"
"08.12.2023 10:45 - 08.12.2023 11:00","7592","8331"
"08.12.2023 11:00 - 08.12.2023 11:15","7624","8301"
"08.12.2023 11:15 - 08.12.2023 11:30","7676","8366"
"08.12.2023 11:30 - 08.12.2023 11:45","7684","8376"
"08.12.2023 11:45 - 08.12.2023 12:00","7632","8330"
"08.12.2023 12:00 - 08.12.2023 12:15","7648","8324"
"08.12.2023 12:15 - 08.12.2023 12:30","7552","8229"
"08.12.2023 12:30 - 08.12.2023 12:45","7464","8156"
"08.12.2023 12:45 - 08.12.2023 13:00","7372","8065"
"08.12.2023 13:00 - 08.12.2023 13:15","7320","8072"
"08.12.2023 13:15 - 08.12.2023 13:30","7256","7972"
"08.12.2023 13:30 - 08.12.2023 13:45","7208","7927"
"08.12.2023 13:45 - 08.12.2023 14:00","7160","7890"
"08.12.2023 14:00 - 08.12.2023 14:15","7128","7866"
"08.12.2023 14:15 - 08.12.2023 14:30","7104","7850"
"08.12.2023 14:30 - 08.12.2023 14:45","7092","7870"
"08.12.2023 14:45 - 08.12.2023 15:00","7100","7847"
"08.12.2023 15:00 - 08.12.2023 15:15","7132","7893"
"08.12.2023 15:15 - 08.12.2023 15:30","7160","7935"
"08.12.2023 15:30 - 08.12.2023 15:45","7188","7990"
"08.12.2023 15:45 - 08.12.2023 16:00","7244","8016"
"08.12.2023 16:00 - 08.12.2023 16:15","7324","8090"
"08.12.2023 16:15 - 08.12.2023 16:30","7404","8199"
"08.12.2023 16:30 - 08.12.2023 16:45","7492","8293"
"08.12.2023 16:45 - 08.12.2023 17:00","7576","8336"
"08.12.2023 17:00 - 08.12.2023 17:15","7648","8364"
"08.12.2023 17:15 - 08.12.2023 17:30","7696","8400"
"08.12.2023 17:30 - 08.12.2023 17:45","7724","8410"
"08.12.2023 17:45 - 08.12.2023 18:00","7756","8395"
"08.12.2023 18:00 - 08.12.2023 18:15","7784","8322"
"08.12.2023 18:15 - 08.12.2023 18:30","7756","8217"
"08.12.2023 18:30 - 08.12.2023 18:45","7716","8144"
"08.12.2023 18:45 - 08.12.2023 19:00","7668","8064"
"08.12.2023 19:00 - 08.12.2023 19:15","7600","7972"
"08.12.2023 19:15 - 08.12.2023 19:30","7532","7919"
"08.12.2023 19:30 - 08.12.2023 19:45","7448","7866"
"08.12.2023 19:45 - 08.12.2023 20:00","7372","7757"
"08.12.2023 20:00 - 08.12.2023 20:15","7292","7660"
"08.12.2023 20:15 - 08.12.2023 20:30","7200","7586"
"08.12.2023 20:30 - 08.12.2023 20:45","7104","7496"
"08.12.2023 20:45 - 08.12.2023 21:00","7016","7378"
"08.12.2023 21:00 - 08.12.2023 21:15","6912","7299"
"08.12.2023 21:15 - 08.12.2023 21:30","6816","7192"
"08.12.2023 21:30 - 08.12.2023 21:45","6736","7078"
"08.12.2023 21:45 - 08.12.2023 22:00","6708","7016"
"08.12.2023 22:00 - 08.12.2023 22:15","6936","7210"
"08.12.2023 22:15 - 08.12.2023 22:30","6900","7152"
"08.12.2023 22:30 - 08.12.2023 22:45","6780","7035"
"08.12.2023 22:45 - 08.12.2023 23:00","6680","6905"
"08.12.2023 23:00 - 08.12.2023 23:15","6680","6797"
"08.12.2023 23:15 - 08.12.2023 23:30","6564","6700"
"08.12.2023 23:30 - 08.12.2023 23:45","6468","6548"
"08.12.2023 23:45 - 09.12.2023 00:00","6404","6495"
"09.12.2023 00:00 - 09.12.2023 00:15","6468","6500"
"09.12.2023 00:15 - 09.12.2023 00:30","6364","6389"
"09.12.2023 00:30 - 09.12.2023 00:45","6268","6298"
"09.12.2023 00:45 - 09.12.2023 01:00","6168","6197"
"09.12.2023 01:00 - 09.12.2023 01:15","6204","6189"
"09.12.2023 01:15 - 09.12.2023 01:30","6124","6113"
"09.12.2023 01:30 - 09.12.2023 01:45","6060","6038"
"09.12.2023 01:45 - 09.12.2023 02:00","6016","5973"
"09.12.2023 02:00 - 09.12.2023 02:15","6080","6032"
"09.12.2023 02:15 - 09.12.2023 02:30","6040","5964"
"09.12.2023 02:30 - 09.12.2023 02:45","5988","5916"
"09.12.2023 02:45 - 09.12.2023 03:00","5940","5863"
"09.12.2023 03:00 - 09.12.2023 03:15","5920","5832"
"09.12.2023 03:15 - 09.12.2023 03:30","5900","5820"
"09.12.2023 03:30 - 09.12.2023 03:45","5888","5789"
"09.12.2023 03:45 - 09.12.2023 04:00","5876","5786"
"09.12.2023 04:00 - 09.12.2023 04:15","5916","5852"
"09.12.2023 04:15 - 09.12.2023 04:30","5924","5862"
"09.12.2023 04:30 - 09.12.2023 04:45","5940","5902"
"09.12.2023 04:45 - 09.12.2023 05:00","5968","5948"
"09.12.2023 05:00 - 09.12.2023 05:15","6024","6072"
"09.12.2023 05:15 - 09.12.2023 05:30","6088","6136"
"09.12.2023 05:30 - 09.12.2023 05:45","6168","6229"
"09.12.2023 05:45 - 09.12.2023 06:00","6248","6295"
"09.12.2023 06:00 - 09.12.2023 06:15","6324","6439"
"09.12.2023 06:15 - 09.12.2023 06:30","6436","6580"
"09.12.2023 06:30 - 09.12.2023 06:45","6532","6706"
"09.12.2023 06:45 - 09.12.2023 07:00","6656","6828"
"09.12.2023 07:00 - 09.12.2023 07:15","6740","6987"
"09.12.2023 07:15 - 09.12.2023 07:30","6860","7111"
"09.12.2023 07:30 - 09.12.2023 07:45","6960","7208"
"09.12.2023 07:45 - 09.12.2023 08:00","7060","7334"
"09.12.2023 08:00 - 09.12.2023 08:15","7172","7496"
"09.12.2023 08:15 - 09.12.2023 08:30","7260","7627"
"09.12.2023 08:30 - 09.12.2023 08:45","7356","7716"
"09.12.2023 08:45 - 09.12.2023 09:00","7420","7856"
"09.12.2023 09:00 - 09.12.2023 09:15","7484","7974"
"09.12.2023 09:15 - 09.12.2023 09:30","7516","8042"
"09.12.2023 09:30 - 09.12.2023 09:45","7552","8117"
"09.12.2023 09:45 - 09.12.2023 10:00","7588","8161"
"09.12.2023 10:00 - 09.12.2023 10:15","7648","8197"
"09.12.2023 10:15 - 09.12.2023 10:30","7704","8282"
"09.12.2023 10:30 - 09.12.2023 10:45","7736","8325"
"09.12.2023 10:45 - 09.12.2023 11:00","7768","8352"
"09.12.2023 11:00 - 09.12.2023 11:15","7756","8362"
"09.12.2023 11:15 - 09.12.2023 11:30","7808","8394"
"09.12.2023 11:30 - 09.12.2023 11:45","7820","8344"
"09.12.2023 11:45 - 09.12.2023 12:00","7788","8298"
"09.12.2023 12:00 - 09.12.2023 12:15","7828","8301"
"09.12.2023 12:15 - 09.12.2023 12:30","7760","8190"
"09.12.2023 12:30 - 09.12.2023 12:45","7692","8090"
"09.12.2023 12:45 - 09.12.2023 13:00","7648","8031"
"09.12.2023 13:00 - 09.12.2023 13:15","7640","8049"
"09.12.2023 13:15 - 09.12.2023 13:30","7604","7988"
"09.12.2023 13:30 - 09.12.2023 13:45","7568","7906"
"09.12.2023 13:45 - 09.12.2023 14:00","7512","7852"
"09.12.2023 14:00 - 09.12.2023 14:15","7488","7855"
"09.12.2023 14:15 - 09.12.2023 14:30","7472","7840"
"09.12.2023 14:30 - 09.12.2023 14:45","7476","7849"
"09.12.2023 14:45 - 09.12.2023 15:00","7460","7869"
"09.12.2023 15:00 - 09.12.2023 15:15","7464","7900"
"09.12.2023 15:15 - 09.12.2023 15:30","7460","7931"
"09.12.2023 15:30 - 09.12.2023 15:45","7480","8007"
"09.12.2023 15:45 - 09.12.2023 16:00","7516","8072"
"09.12.2023 16:00 - 09.12.2023 16:15","7556","8108"
"09.12.2023 16:15 - 09.12.2023 16:30","7632","8164"
"09.12.2023 16:30 - 09.12.2023 16:45","7708","8237"
"09.12.2023 16:45 - 09.12.2023 17:00","7780","8298"
"09.12.2023 17:00 - 09.12.2023 17:15","7828","8332"
"09.12.2023 17:15 - 09.12.2023 17:30","7864","8314"
"09.12.2023 17:30 - 09.12.2023 17:45","7864","8314"
"09.12.2023 17:45 - 09.12.2023 18:00","7856","8284"
"09.12.2023 18:00 - 09.12.2023 18:15","7844","8245"
"09.12.2023 18:15 - 09.12.2023 18:30","7752","8086"
"09.12.2023 18:30 - 09.12.2023 18:45","7688","8010"
"09.12.2023 18:45 - 09.12.2023 19:00","7632","7925"
"09.12.2023 19:00 - 09.12.2023 19:15","7568","7853"
"09.12.2023 19:15 - 09.12.2023 19:30","7496","7813"
"09.12.2023 19:30 - 09.12.2023 19:45","7416","7722"
"09.12.2023 19:45 - 09.12.2023 20:00","7344","7617"
"09.12.2023 20:00 - 09.12.2023 20:15","7260","7524"
"09.12.2023 20:15 - 09.12.2023 20:30","7168","7421"
"09.12.2023 20:30 - 09.12.2023 20:45","7076","7321"
"09.12.2023 20:45 - 09.12.2023 21:00","6984","7228"
"09.12.2023 21:00 - 09.12.2023 21:15","6868","7173"
"09.12.2023 21:15 - 09.12.2023 21:30","6776","7072"
"09.12.2023 21:30 - 09.12.2023 21:45","6684","6964"
"09.12.2023 21:45 - 09.12.2023 22:00","6632","6871"
"09.12.2023 22:00 - 09.12.2023 22:15","6824","7062"
"09.12.2023 22:15 - 09.12.2023 22:30","6772","7039"
"09.12.2023 22:30 - 09.12.2023 22:45","6636","6916"
"09.12.2023 22:45 - 09.12.2023 23:00","6536","6812"
"09.12.2023 23:00 - 09.12.2023 23:15","6464","6729"
"09.12.2023 23:15 - 09.12.2023 23:30","6348","6589"
"09.12.2023 23:30 - 09.12.2023 23:45","6232","6496"
"09.12.2023 23:45 - 10.12.2023 00:00","6148","6414"
"10.12.2023 00:00 - 10.12.2023 00:15","6428","6357"
"10.12.2023 00:15 - 10.12.2023 00:30","6328","6271"
"10.12.2023 00:30 - 10.12.2023 00:45","6224","6196"
"10.12.2023 00:45 - 10.12.2023 01:00","6132","6092"
"10.12.2023 01:00 - 10.12.2023 01:15","6100","6045"
"10.12.2023 01:15 - 10.12.2023 01:30","6020","5976"
"10.12.2023 01:30 - 10.12.2023 01:45","5952","5900"
"10.12.2023 01:45 - 10.12.2023 02:00","5896","5822"
"10.12.2023 02:00 - 10.12.2023 02:15","5952","5879"
"10.12.2023 02:15 - 10.12.2023 02:30","5904","5829"
"10.12.2023 02:30 - 10.12.2023 02:45","5848","5788"
"10.12.2023 02:45 - 10.12.2023 03:00","5804","5695"
"10.12.2023 03:00 - 10.12.2023 03:15","5788","5711"
"10.12.2023 03:15 - 10.12.2023 03:30","5760","5686"
"10.12.2023 03:30 - 10.12.2023 03:45","5744","5644"
"10.12.2023 03:45 - 10.12.2023 04:00","5732","5640"
"10.12.2023 04:00 - 10.12.2023 04:15","5744","5671"
"10.12.2023 04:15 - 10.12.2023 04:30","5748","5672"
"10.12.2023 04:30 - 10.12.2023 04:45","5772","5689"
"10.12.2023 04:45 - 10.12.2023 05:00","5792","5697"
"10.12.2023 05:00 - 10.12.2023 05:15","5856","5781"
"10.12.2023 05:15 - 10.12.2023 05:30","5896","5810"
"10.12.2023 05:30 - 10.12.2023 05:45","5944","5863"
"10.12.2023 05:45 - 10.12.2023 06:00","5984","5907"
"10.12.2023 06:00 - 10.12.2023 06:15","6024","5936"
"10.12.2023 06:15 - 10.12.2023 06:30","6108","6024"
"10.12.2023 06:30 - 10.12.2023 06:45","6212","6111"
