"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"03.01.2022 19:30 - 03.01.2022 19:45","0","0","n/e","n/e","1308","1012"
"03.01.2022 19:45 - 03.01.2022 20:00","0","0","n/e","n/e","1256","976"
"03.01.2022 20:00 - 03.01.2022 20:15","0","0","n/e","n/e","1204","948"
"03.01.2022 20:15 - 03.01.2022 20:30","0","0","n/e","n/e","1152","924"
"03.01.2022 20:30 - 03.01.2022 20:45","0","0","n/e","n/e","1104","900"
"03.01.2022 20:45 - 03.01.2022 21:00","0","0","n/e","n/e","1056","896"
"03.01.2022 21:00 - 03.01.2022 21:15","0","0","n/e","n/e","1012","872"
"03.01.2022 21:15 - 03.01.2022 21:30","0","0","n/e","n/e","976","856"
"03.01.2022 21:30 - 03.01.2022 21:45","0","0","n/e","n/e","936","844"
"03.01.2022 21:45 - 03.01.2022 22:00","0","0","n/e","n/e","900","828"
"03.01.2022 22:00 - 03.01.2022 22:15","0","0","n/e","n/e","872","816"
"03.01.2022 22:15 - 03.01.2022 22:30","0","0","n/e","n/e","864","808"
"03.01.2022 22:30 - 03.01.2022 22:45","0","0","n/e","n/e","852","800"
"03.01.2022 22:45 - 03.01.2022 23:00","0","0","n/e","n/e","840","796"
"03.01.2022 23:00 - 03.01.2022 23:15","0","0","n/e","n/e","824","792"
"03.01.2022 23:15 - 03.01.2022 23:30","0","0","n/e","n/e","808","796"
"03.01.2022 23:30 - 03.01.2022 23:45","0","0","n/e","n/e","788","800"
"03.01.2022 23:45 - 04.01.2022 00:00","0","0","n/e","n/e","772","804"
"04.01.2022 00:00 - 04.01.2022 00:15","0","0","n/e","n/e","792","780"
"04.01.2022 00:15 - 04.01.2022 00:30","0","0","n/e","n/e","760","792"
"04.01.2022 00:30 - 04.01.2022 00:45","0","0","n/e","n/e","732","824"
"04.01.2022 00:45 - 04.01.2022 01:00","0","0","n/e","n/e","700","804"
"04.01.2022 01:00 - 04.01.2022 01:15","0","0","n/e","n/e","676","780"
"04.01.2022 01:15 - 04.01.2022 01:30","0","0","n/e","n/e","656","756"
