"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"10.01.2022 02:00 - 10.01.2022 03:00","0","0","n/e","n/e","4237","n/e"
"10.01.2022 03:00 - 10.01.2022 04:00","0","0","n/e","n/e","4163","n/e"
"10.01.2022 04:00 - 10.01.2022 05:00","0","0","n/e","n/e","4131","n/e"
"10.01.2022 05:00 - 10.01.2022 06:00","0","0","n/e","n/e","4079","n/e"
"10.01.2022 06:00 - 10.01.2022 07:00","0","0","n/e","n/e","4068","n/e"
"10.01.2022 07:00 - 10.01.2022 08:00","21","21","n/e","n/e","4258","n/e"
"10.01.2022 08:00 - 10.01.2022 09:00","663","596","n/e","n/e","4361","n/e"
"10.01.2022 09:00 - 10.01.2022 10:00","2089","1967","n/e","n/e","4642","n/e"
"10.01.2022 10:00 - 10.01.2022 11:00","3467","3324","n/e","n/e","4868","n/e"
"10.01.2022 11:00 - 10.01.2022 12:00","4379","4248","n/e","n/e","5332","n/e"
"10.01.2022 12:00 - 10.01.2022 13:00","4686","4583","n/e","n/e","5766","n/e"
"10.01.2022 13:00 - 10.01.2022 14:00","4381","4274","n/e","n/e","6042","n/e"
"10.01.2022 14:00 - 10.01.2022 15:00","3430","3330","n/e","n/e","6173","n/e"
"10.01.2022 15:00 - 10.01.2022 16:00","1924","1868","n/e","n/e","6190","n/e"
"10.01.2022 16:00 - 10.01.2022 17:00","461","456","n/e","n/e","6129","n/e"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","n/e","n/e","6107","n/e"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","n/e","n/e","6077","n/e"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","n/e","n/e","5980","n/e"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","n/e","n/e","6003","n/e"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","n/e","n/e","5977","n/e"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","n/e","n/e","5915","n/e"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","n/e","n/e","6139","n/e"
"11.01.2022 00:00 - 11.01.2022 01:00","0","0","n/e","n/e","5860","n/e"
"11.01.2022 01:00 - 11.01.2022 02:00","0","0","n/e","n/e","6015","n/e"
"11.01.2022 02:00 - 11.01.2022 03:00","0","0","n/e","n/e","6108","n/e"
"11.01.2022 03:00 - 11.01.2022 04:00","0","0","n/e","n/e","6087","n/e"
"11.01.2022 04:00 - 11.01.2022 05:00","0","0","n/e","n/e","6233","n/e"
"11.01.2022 05:00 - 11.01.2022 06:00","0","0","n/e","n/e","6349","n/e"
"11.01.2022 06:00 - 11.01.2022 07:00","0","0","n/e","n/e","6427","n/e"
"11.01.2022 07:00 - 11.01.2022 08:00","9","7","n/e","n/e","6499","n/e"
"11.01.2022 08:00 - 11.01.2022 09:00","802","784","n/e","n/e","6518","n/e"
"11.01.2022 09:00 - 11.01.2022 10:00","2750","2733","n/e","n/e","6480","n/e"
"11.01.2022 10:00 - 11.01.2022 11:00","4709","4715","n/e","n/e","6530","n/e"
"11.01.2022 11:00 - 11.01.2022 12:00","5953","5984","n/e","n/e","6579","n/e"
"11.01.2022 12:00 - 11.01.2022 13:00","6320","6369","n/e","n/e","6631","n/e"
"11.01.2022 13:00 - 11.01.2022 14:00","5933","5985","n/e","n/e","6563","n/e"
"11.01.2022 14:00 - 11.01.2022 15:00","4675","4744","n/e","n/e","6559","n/e"
"11.01.2022 15:00 - 11.01.2022 16:00","2614","2685","n/e","n/e","6514","n/e"
"11.01.2022 16:00 - 11.01.2022 17:00","635","655","n/e","n/e","6508","n/e"
"11.01.2022 17:00 - 11.01.2022 18:00","0","0","n/e","n/e","6373","n/e"
"11.01.2022 18:00 - 11.01.2022 19:00","0","0","n/e","n/e","6169","n/e"
"11.01.2022 19:00 - 11.01.2022 20:00","0","0","n/e","n/e","5970","n/e"
"11.01.2022 20:00 - 11.01.2022 21:00","0","0","n/e","n/e","5776","n/e"
"11.01.2022 21:00 - 11.01.2022 22:00","0","0","n/e","n/e","5608","n/e"
"11.01.2022 22:00 - 11.01.2022 23:00","0","0","n/e","n/e","5525","n/e"
"11.01.2022 23:00 - 12.01.2022 00:00","0","0","n/e","n/e","5208","n/e"
"12.01.2022 00:00 - 12.01.2022 01:00","0","0","n/e","n/e","5294","n/e"
"12.01.2022 01:00 - 12.01.2022 02:00","0","0","n/e","n/e","5061","n/e"
"12.01.2022 02:00 - 12.01.2022 03:00","0","0","n/e","n/e","4848","n/e"
"12.01.2022 03:00 - 12.01.2022 04:00","0","0","n/e","n/e","4720","n/e"
"12.01.2022 04:00 - 12.01.2022 05:00","0","0","n/e","n/e","4495","n/e"
"12.01.2022 05:00 - 12.01.2022 06:00","0","0","n/e","n/e","4488","n/e"
"12.01.2022 06:00 - 12.01.2022 07:00","0","0","n/e","n/e","4378","n/e"
"12.01.2022 07:00 - 12.01.2022 08:00","43","43","n/e","n/e","4330","n/e"
"12.01.2022 08:00 - 12.01.2022 09:00","1057","1023","n/e","n/e","4184","n/e"
"12.01.2022 09:00 - 12.01.2022 10:00","3204","3130","n/e","n/e","4130","n/e"
"12.01.2022 10:00 - 12.01.2022 11:00","5190","5093","n/e","n/e","4160","n/e"
"12.01.2022 11:00 - 12.01.2022 12:00","6344","6282","n/e","n/e","4390","n/e"
"12.01.2022 12:00 - 12.01.2022 13:00","6609","6595","n/e","n/e","4739","n/e"
"12.01.2022 13:00 - 12.01.2022 14:00","6165","6173","n/e","n/e","4954","n/e"
"12.01.2022 14:00 - 12.01.2022 15:00","4881","4875","n/e","n/e","4975","n/e"
"12.01.2022 15:00 - 12.01.2022 16:00","2776","2764","n/e","n/e","4889","n/e"
"12.01.2022 16:00 - 12.01.2022 17:00","682","676","n/e","n/e","4755","n/e"
"12.01.2022 17:00 - 12.01.2022 18:00","0","0","n/e","n/e","4764","n/e"
"12.01.2022 18:00 - 12.01.2022 19:00","0","0","n/e","n/e","4649","n/e"
