"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"03.01.2022 09:15 - 03.01.2022 09:30","1296","1149","6194","6045","34564","35457"
"03.01.2022 09:30 - 03.01.2022 09:45","1745","1567","6193","6063","34557","35364"
"03.01.2022 09:45 - 03.01.2022 10:00","2220","2009","6198","6075","34565","35091"
"03.01.2022 10:00 - 03.01.2022 10:15","2694","2449","6198","6040","34572","35059"
"03.01.2022 10:15 - 03.01.2022 10:30","3167","2917","6199","6042","34645","34896"
"03.01.2022 10:30 - 03.01.2022 10:45","3624","3324","6199","5811","34723","34591"
"03.01.2022 10:45 - 03.01.2022 11:00","4051","3667","6199","5736","34797","34675"
"03.01.2022 11:00 - 03.01.2022 11:15","4490","3962","6200","5690","34861","34622"
"03.01.2022 11:15 - 03.01.2022 11:30","4858","4220","6201","5676","34979","34837"
"03.01.2022 11:30 - 03.01.2022 11:45","5140","4432","6200","5686","35098","34938"
"03.01.2022 11:45 - 03.01.2022 12:00","5335","4558","6199","5715","35198","35089"
"03.01.2022 12:00 - 03.01.2022 12:15","5467","4613","6197","5681","35292","35119"
"03.01.2022 12:15 - 03.01.2022 12:30","5555","4693","6199","5702","35290","35131"
"03.01.2022 12:30 - 03.01.2022 12:45","5555","4715","6200","5694","35285","35031"
"03.01.2022 12:45 - 03.01.2022 13:00","5489","4569","6197","5705","35270","34936"
"03.01.2022 13:00 - 03.01.2022 13:15","5345","4326","6195","5696","35243","34772"
"03.01.2022 13:15 - 03.01.2022 13:30","5184","3990","6195","5692","35097","34388"
"03.01.2022 13:30 - 03.01.2022 13:45","4917","3737","6194","5706","34945","34233"
"03.01.2022 13:45 - 03.01.2022 14:00","4563","3447","6193","5706","34786","34015"
"03.01.2022 14:00 - 03.01.2022 14:15","4173","3061","6196","5706","34620","33720"
"03.01.2022 14:15 - 03.01.2022 14:30","3679","2680","6202","5705","34339","33470"
"03.01.2022 14:30 - 03.01.2022 14:45","3193","2215","6203","5718","34042","33278"
"03.01.2022 14:45 - 03.01.2022 15:00","2662","1828","6206","5715","33734","32960"
"03.01.2022 15:00 - 03.01.2022 15:15","2087","1396","6262","5711","33405","32614"
"03.01.2022 15:15 - 03.01.2022 15:30","1549","1003","6263","5705","33104","32237"
"03.01.2022 15:30 - 03.01.2022 15:45","1044","667","6263","5702","32788","31738"
"03.01.2022 15:45 - 03.01.2022 16:00","627","398","6263","5710","32475","31460"
"03.01.2022 16:00 - 03.01.2022 16:15","338","211","6265","5681","32181","30933"
"03.01.2022 16:15 - 03.01.2022 16:30","122","70","6255","5688","32080","30766"
"03.01.2022 16:30 - 03.01.2022 16:45","13","3","6259","5700","31975","30793"
"03.01.2022 16:45 - 03.01.2022 17:00","4","1","6264","5700","31864","30434"
"03.01.2022 17:00 - 03.01.2022 17:15","0","0","6236","5709","31750","30062"
"03.01.2022 17:15 - 03.01.2022 17:30","0","0","6237","5694","31708","29864"
"03.01.2022 17:30 - 03.01.2022 17:45","0","0","6234","5723","31657","29821"
"03.01.2022 17:45 - 03.01.2022 18:00","0","0","6234","5716","31606","29699"
"03.01.2022 18:00 - 03.01.2022 18:15","0","0","6223","5711","31561","29780"
"03.01.2022 18:15 - 03.01.2022 18:30","0","0","6213","5704","31495","29639"
"03.01.2022 18:30 - 03.01.2022 18:45","0","0","6187","5606","31422","29582"
"03.01.2022 18:45 - 03.01.2022 19:00","0","0","6164","5562","31338","29269"
"03.01.2022 19:00 - 03.01.2022 19:15","0","0","6135","5557","31240","28994"
"03.01.2022 19:15 - 03.01.2022 19:30","0","0","6101","5541","31077","28875"
"03.01.2022 19:30 - 03.01.2022 19:45","0","0","6019","5539","30907","28667"
"03.01.2022 19:45 - 03.01.2022 20:00","0","0","5987","5549","30733","28482"
"03.01.2022 20:00 - 03.01.2022 20:15","0","0","5953","5540","30552","28040"
"03.01.2022 20:15 - 03.01.2022 20:30","0","0","5912","5522","30312","27880"
"03.01.2022 20:30 - 03.01.2022 20:45","0","0","5929","5530","30064","27437"
"03.01.2022 20:45 - 03.01.2022 21:00","0","0","5882","5343","29807","27208"
"03.01.2022 21:00 - 03.01.2022 21:15","0","0","5839","5275","29550","26920"
"03.01.2022 21:15 - 03.01.2022 21:30","0","0","5785","5192","29248","26725"
"03.01.2022 21:30 - 03.01.2022 21:45","0","0","5726","5142","28934","26446"
"03.01.2022 21:45 - 03.01.2022 22:00","0","0","5663","5067","28621","26154"
"03.01.2022 22:00 - 03.01.2022 22:15","0","0","5671","5017","27807","25440"
"03.01.2022 22:15 - 03.01.2022 22:30","0","0","5563","4972","27424","25049"
